et,en,ru
Peske käsi või kasutage antiseptikat kätel regulaarselt,Regularly wash or disinfect hands,Регулярно мыть или дезинфицировать руки
"Jah, ma järgin seda meedet praegu esimest korda või rangemalt","Yes, I am following this measure now for the first time, or in a stricter way","Да, я сейчас впервые соблюдаю эту меру или ужесточаю ее"
"Ei, ma juba järgisin seda meedet","No, I was already following this measure","Нет, я уже соблюдал(а) эту меру"
"Ei, ma ei järgi seda meedet","No, I am not following this measure","Нет, я не соблюдаю эту меру"
Eelnevad variandid ei sobi,Not applicable,Неприменимо
Kata suu köhimise või aevastamis ajal küünarnukiga,Cough or sneeze into your elbow,Кашлять или чихать в сгиб локтя
Kasutage ühekordset salvrätikut,Use a disposable tissue,Использовать одноразовую салфетку
Kandke siseruumides näomaski,Wear a face mask indoors,Надевать маску в помещении
Kandke õues näomaski,Wear a face mask outdoors,Носить маску на открытом воздухе
Vältige kätlemist,Avoid shaking hands,Избегать рукопожатий
Ärge tervitage mõlemale põsele kallistades ja/või suudeldes,Stop greeting by hugging and/or kissing on both cheeks,"Перестать здороваться, обнимая и/или целуя в обе щеки"
Piirake ühistranspordi kasutamist,Limit your use of public transport,Ограничить пользование общественным транспортом
"Vältige rahvarohkeid kohti ja kogunemisi (supermarket, kino, staadion)","Avoid busy places and gatherings (supermarket, cinema, stadium)","Избегать оживленных мест и скоплений людей (супермаркет, кинотеатр, стадион)"
Püsige kodus,Stay at home,Оставаться дома
Tehke kaugtööd või suurendage kaugtööpäevade arvu,Telework or increase your number of telework days,Работать удаленно или увеличить количество дней удаленной работы
Vältige reisimist väljaspoole oma riiki või piirkonda,Avoid travel outside your own country or region,Избегать поездок за пределы своей страны или региона
Laske oma toit/ostud kohale toimetada poe või sõbra/pereliikme poolt,Have your food/shopping delivered by a store or a friend/family member,Поручить доставку еды/покупок магазину или другу/члену семьи
Vältige sõprade ja perega kohtumist,Avoid seeing friends and family,Избегать встреч с друзьями и семьей
Vältige kokkupuudet üle 65-aastaste või kroonilisi haiguseid põdevate inimestega,Avoid being in contact with people over 65 years old or with a chronic disease,Избегать контактов с людьми старше 65 лет или имеющими хронические заболевания
Vältige kokkupuudet lastega,Avoid being in contact with children,Избегать контакта с детьми
Mis teie arvates põhjustab teie sümptomeid?,What do you think is causing your symptoms?,"Как вы думаете, что вызывает ваши симптомы?"
"Et näha, kas meie hinnang teie haigusele teie sümptomite põhjal vastab sellele, mida teie arvate olevat põhjuseks. Teil võib olla parem ettekujutus oma haiguse põhjusest kui meie arvutialgoritmid.","To see if our assessment of your illness, based on your symptoms, matches what you believe to be the cause. You may have a better idea of the cause of your illness than our computer algorithms.","Чтобы проверить, соответствует ли наша оценка вашего заболевания, основанная на ваших симптомах, тому, что, по вашему мнению, является причиной. Возможно, вы лучше представляете себе причину своей болезни, чем наши компьютерные алгоритмы."
"Kui olete oma sümptomite põhjuses piisavalt kindel, valige vastav ruut. Vastasel juhul valige 'Ei, ma ei tea'.","If you are reasonably sure of the cause of your symptoms, select the appropriate box. Otherwise, select 'No, I Don’t know'.","Возможно, вы лучше представляете причину своей болезни, чем наши компьютерные алгоритмы. В противном случае выберите «Нет, я не знаю»."
Gripp või gripilaadne haigus,Flu or flu-like illness,Грипп или гриппоподобное заболевание
Uus koroonaviirus (COVID-19),New coronavirus (COVID-19),Новый коронавирус (COVID-19)
Tavaline külmetus,Common cold,Простуда
Allergia/heinanohu,Allergy/hay fever,Аллергия/сенная лихорадка
Astma,Ashtma,Астма
Gastroenteriidi kaebused või kõhugripp,Gastroenteritis complaints or gastric flu,Жалобы на гастроэнтерит или желудочный грипп
Ma ei tea,I don't know,Я не знаю
"Täname teid! See on selleks korraks kõik, palun esitage oma vastused (vajutage „Saada“) . Küsime teilt järgmisel nädalal uuesti.","Thank you! This was all for now, please submit (push « send ») your responses. We will ask you again next week.","Спасибо! На этом пока все, пожалуйста, отправьте свои ответы (нажмите «отправить»). Мы спросим вас снова на следующей неделе."
